damp,temp0,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp16,temp17,temp18,temp19,temp20,temp21,temp22,temp23,temp24,temp25,temp26,temp27,temp28,temp29,temp30,temp31,temp32,temp33,temp34,temp35,temp36,temp37,temp38,temp39,temp40,temp41,temp42,temp43,temp44,temp45,temp46,temp47,temp48,temp49,temp50,temp51,temp52,temp53,temp54,temp55,temp56,temp57,temp58,temp59,temp60,temp61,temp62,temp63,temp64,temp65,temp66,temp67,temp68,temp69,temp70,temp71,temp72,temp73,temp74,temp75,temp76,temp77,temp78,temp79,temp80,temp81,temp82,temp83,temp84,temp85,temp86,temp87,temp88,temp89,temp90,temp91,temp92,temp93,temp94,temp95,temp96,temp97,temp98,temp99,temp100
10,0.95606665,123.4702,127.26784,130.63302,114.48213,119.52389,123.07756,120.13271,127.74329,116.14044,128.75693,121.39025,129.75194,114.83857,127.10066,119.16422,120.37724,119.97703,121.64363,122.00614,130.71682,122.31487,114.84178,119.70255,119.00983,123.53299,125.89713,120.90034,124.09309,122.82435,125.0682,116.48162,122.99791,119.7637,121.55413,122.20701,119.49759,121.23814,112.39244,118.97657,124.2385,118.2543,122.98599,110.93232,121.97597,116.393,132.1484,116.41942,108.85544,112.01463,118.97937,128.95281,120.66572,117.19268,121.78988,119.80874,122.47889,123.32088,114.99249,119.58857,121.28231,121.13897,118.55598,123.75434,123.14804,126.40695,125.37317,116.74426,118.76247,122.97198,120.34986,123.7997,123.39448,122.68778,121.27564,119.96288,121.37219,121.17171,113.35835,121.14484,121.26684,123.82073,115.78251,117.17544,119.7856,119.34217,108.84887,121.33813,119.35868,121.60268,121.90003,119.34369,115.90058,117.51302,115.92654,116.37309,117.10291,117.54447,125.34658,122.41651,117.10812
11,0.95606665,127.71869,120.7936,114.72895,120.33357,120.03022,120.66153,120.5735,124.79557,123.58868,118.44226,120.8236,120.8232,127.74506,116.6883,118.26178,122.24044,127.61685,111.97324,122.89835,125.08675,130.07817,120.68865,119.18053,120.8324,119.02459,116.92097,120.40351,125.93553,122.64122,118.29684,113.03197,113.05537,124.60344,125.4566,121.32225,124.96686,117.38298,120.41831,116.44731,121.83161,124.79125,115.74747,117.65536,120.06642,120.38041,118.33001,122.00258,117.45328,115.39536,115.81771,116.85001,125.66348,122.84989,127.89917,124.83473,114.78554,118.60639,119.77235,116.62451,116.24092,116.33727,126.57331,124.70714,122.5672,118.60391,112.72131,118.80812,123.01608,117.11212,127.0509,121.73964,120.10926,122.8409,124.36022,115.82945,122.59093,130.26826,116.59361,123.54956,119.72761,124.08316,114.01811,119.94651,124.58534,119.50596,123.46866,116.72129,114.00691,122.16037,123.0931,120.15573,119.25776,120.63337,118.19012,118.86651,120.36462,120.73893,113.79173,121.09536,126.81552
12,0.95606665,116.49066,122.93873,122.33945,118.35537,120.10188,114.7795,115.14713,130.23323,118.66697,120.70923,110.29609,118.1289,124.40619,125.05033,116.10826,122.00297,121.70344,112.5428,122.284,122.75948,120.29596,116.18025,120.6314,123.47689,116.83486,116.64514,116.96964,121.35586,122.52509,128.02479,115.82455,111.36762,126.11363,110.30186,122.75502,119.08727,124.83182,116.04631,125.11768,116.51936,129.09614,118.66729,115.75066,116.19478,124.12101,116.72843,115.59,123.53461,123.37263,117.22693,124.24332,114.15633,120.58155,126.41426,121.57047,117.77068,111.42503,120.42199,115.83017,123.0697,115.55864,119.77995,117.55518,119.96943,117.33428,122.11676,120.68395,123.47269,111.32256,119.35762,120.13054,115.33119,130.0162,114.1797,119.34574,121.4551,118.35254,125.06587,118.85839,119.58259,124.60641,118.03496,122.77009,115.92151,116.55147,128.71614,110.65551,126.78862,118.15467,126.03664,119.94005,123.93741,119.91479,121.16387,121.8847,119.03821,117.40644,117.02036,118.84211,119.16148
13,0.95606665,118.47203,117.47498,120.15176,126.29048,132.66014,121.75085,129.22816,118.81202,122.35908,115.2455,117.64303,120.3267,120.03098,119.62357,121.47813,122.89312,124.34393,125.09535,118.52151,121.88868,120.06157,123.49084,123.56563,123.60041,124.22324,125.30579,122.26059,122.87742,124.09817,122.58134,124.0896,113.81843,115.99189,118.65529,122.9489,119.80321,116.57195,110.22827,119.12463,120.18147,120.84639,122.8326,123.97929,118.2036,114.38038,118.37468,117.2026,116.68059,114.31302,123.21904,117.9901,121.91532,122.88066,119.00619,123.48748,119.73734,114.13118,115.35898,123.33204,120.92192,121.20344,121.25013,108.17039,114.00207,116.13465,117.8236,113.50846,115.83792,117.81444,121.04206,120.44716,116.26858,119.23478,115.91949,129.29292,124.95499,118.76432,119.89628,110.88734,115.63706,116.53805,120.9936,119.51351,126.61345,122.16526,124.34981,124.80359,120.83356,121.13498,120.17992,115.81394,114.30574,120.92474,122.66708,121.56016,117.22847,111.79252,117.91861,118.6207,113.86014
14,0.95606665,120.88917,117.48605,126.70722,119.24393,126.0356,115.42276,124.5652,126.67405,118.47008,123.39334,115.38781,114.68947,123.80285,127.60059,113.90764,122.80198,113.56297,114.06174,119.0646,132.09713,120.62515,119.64607,130.87736,117.5868,120.26182,115.99415,127.70001,121.24398,119.58777,113.44691,122.77948,119.68743,115.83961,117.97289,123.10168,114.06807,122.97599,116.00554,121.83122,117.23919,124.4402,117.80877,116.13717,120.37802,122.64822,121.16785,121.54657,120.94903,119.31673,125.84872,117.07162,115.03538,113.30148,118.54937,118.18528,126.77584,115.16845,114.26573,127.57859,120.38908,123.01941,112.62804,110.15418,115.62065,122.44989,119.4594,117.30979,124.78148,123.58205,113.14672,124.47625,117.20333,123.6677,115.59467,125.09844,116.01677,118.69542,121.80604,120.00851,121.18643,118.7876,117.85678,121.42756,123.37632,117.55643,113.03841,120.70689,127.87683,116.79843,127.00567,121.07333,132.64129,117.88845,115.12577,127.06851,122.55743,114.93515,123.48131,116.82896,129.05899
15,0.95606665,121.86164,122.5448,125.46934,123.25844,117.3169,115.36053,125.0516,113.10243,114.40727,115.75221,118.14699,122.34202,113.05985,120.3158,113.43447,122.97746,120.50692,115.24784,122.55177,127.98827,125.07274,119.93687,119.64039,122.81592,122.50652,124.46328,126.91254,125.8573,119.93864,114.31264,117.09715,121.31884,122.9179,122.4192,128.64315,121.49214,121.3835,127.07942,117.28684,114.77547,116.45775,123.54565,117.05015,114.97868,122.12959,122.8427,123.3991,121.54318,126.21887,127.79382,118.26089,112.63859,110.12217,113.48682,114.93229,114.57124,112.38317,120.00422,122.38396,112.8244,118.81143,108.86054,114.50449,122.68189,119.01148,113.85017,123.7974,128.29808,124.83298,121.76368,123.77201,120.07745,124.67039,135.27404,126.78611,124.63228,122.1419,114.59715,124.52399,125.31838,122.20905,118.57836,115.8899,120.15834,120.74439,118.19761,119.99181,123.4367,118.20192,122.89945,120.59938,119.88275,120.57443,121.70815,124.94682,123.21205,119.84942,116.16798,128.57312,125.36411
16,0.95606665,111.81382,126.15497,119.73229,124.53442,116.25881,120.12108,125.08314,124.64917,119.50238,119.83197,124.10764,119.11919,118.70499,121.18998,116.94132,116.62568,120.46683,115.77114,133.93539,119.61794,121.26565,119.74215,123.81573,124.58003,117.35831,117.14048,124.1303,123.52248,120.99626,117.07299,125.00682,123.47521,126.37002,127.89115,121.65038,108.90422,121.55771,126.11704,120.1379,120.32469,109.60182,124.72076,114.41114,117.49238,121.87827,114.86759,118.98181,121.06007,122.45545,121.75794,129.81863,120.48393,117.38939,123.27879,114.28653,120.53756,122.66217,127.84636,127.85719,121.4645,113.6913,121.8555,123.64396,120.28095,111.61687,114.40829,125.24674,118.11012,118.78388,127.49664,122.16273,118.91588,118.64319,120.60375,114.71887,127.28538,118.33717,126.02285,117.80985,124.51574,118.27899,125.30318,113.68524,121.75431,115.37412,125.24359,119.57278,126.31621,126.39017,114.12174,115.42586,116.98424,118.49102,115.39813,115.88985,120.43242,124.54412,117.33352,114.96694,126.64607
17,0.95606665,128.75711,115.04848,119.41877,126.51032,114.80733,123.38896,122.41632,113.44833,117.92989,127.23069,117.49418,119.93211,117.05522,123.59268,112.85063,118.75876,121.11407,118.39274,121.65293,123.8577,115.68164,123.70924,125.62451,117.72262,122.52906,124.68837,120.03456,120.98014,121.18385,119.50857,117.07339,120.69942,118.05398,120.52131,122.75558,117.91971,114.3835,111.12543,126.48724,122.85776,107.81618,126.08867,115.0102,114.4619,123.35198,127.63426,112.14425,126.57443,121.23061,131.01961,120.9557,130.35275,112.28511,123.75358,120.34601,121.32735,120.57274,119.90458,116.53142,120.30865,112.13835,124.75263,124.87981,115.27388,120.43641,112.66776,117.05247,126.08227,116.95886,118.0021,113.30972,121.74163,118.7678,119.86103,128.49631,115.77607,121.50607,123.69659,116.78444,124.83292,123.67178,121.94233,119.63012,122.86191,120.05594,120.25272,117.73596,123.56899,122.51802,120.06162,119.92882,116.57858,122.95404,119.78739,120.96346,124.15393,121.96674,114.49424,124.78662,115.68163
18,0.95606665,120.70202,121.96455,123.14741,125.57444,121.03825,123.40277,120.15062,123.9759,119.38554,113.93925,116.86882,118.6962,120.71801,123.97406,127.14748,123.60776,119.82173,125.58436,127.22367,121.83626,122.05511,117.07203,119.10212,116.15429,119.20556,125.80116,122.65803,125.53911,121.08694,116.69608,118.57127,122.95528,127.2325,121.51407,128.70216,122.22964,118.961,115.26933,113.82116,117.29065,112.06214,118.63854,116.4299,115.38784,120.38427,116.80549,114.02926,116.08862,119.73087,119.0198,122.37257,117.9349,124.44547,123.22915,124.8116,123.89183,125.19349,120.67808,119.48871,118.84608,115.86947,120.80306,125.80478,126.25465,121.662,122.26227,121.0327,116.94676,113.84978,118.31516,120.06161,124.70926,122.84039,123.88861,115.32209,124.0343,123.28537,120.06986,118.12718,117.5217,119.82736,116.70186,121.32714,110.8324,108.65263,118.64251,120.57064,121.56148,112.98218,119.90432,130.31862,119.20287,115.98027,120.94033,120.10961,115.73863,110.19706,113.26836,111.99293,124.17752
19,0.95606665,109.50314,119.34946,125.5185,120.41129,110.88505,116.97823,117.6798,124.62871,120.58641,111.02248,116.81149,118.03439,115.24863,119.86464,119.6892,120.85623,119.77115,118.208,119.80748,116.87699,115.47196,119.37287,121.44668,117.09895,115.96944,118.23714,118.89259,121.66685,124.46892,125.2027,119.61721,110.22911,111.65895,111.79797,119.05278,122.19215,119.83975,120.92336,116.64789,115.8521,119.12952,117.11648,117.47999,113.75047,121.10174,122.20524,121.22446,117.14573,117.86524,113.81693,119.29779,121.66021,124.09506,126.76669,113.84924,117.46176,120.55016,124.21454,117.01771,116.94202,113.53117,119.74216,125.76842,124.80665,125.80212,109.76674,118.19004,115.02542,116.19914,115.92792,116.54187,125.07769,119.89827,119.49857,125.82216,115.66845,120.05982,119.20591,120.70079,121.38853,120.8055,121.28091,120.27265,119.01958,123.02395,130.77452,122.11191,122.08553,114.95927,114.87617,121.30208,124.03858,115.81644,113.1955,114.30005,114.80267,119.38465,119.21295,113.49865,123.0493
